Query	ChatId	UserId	Num	BotAnsw	BotHelp	BotAnswer	Time	Answer
Доброго времени суток, Марина.	14839480	22116511	1	0	0	Рады приветствовать вас на нашем сайте	2,271682978	Рады приветствовать вас на нашем сайте
Здравствуйте! не могу найти книгу по МСФО в БСС	14839454	640006	1	0	0	('НЕТ ОТВЕТА',)	44,49393106	"1. Заголовок текста: Как при расчете налога на прибыль учесть расходы на приобретение Системы Главбух и Актион Бухгалтерия (СС)  
Фрагмент: Для целей налога на прибыль стоимость СС признается расходом в течение периода действия доступа. Причем независимо от бухучета. Так, если для целей бухучета расход несущественный, он все равно относится к нескольким периодам, поэтому для целей главы 25 НК требует распределения. Если же стоимость СС существенна для компании и в бухучете она признается авансом, то и для налога на прибыль она признается расходом только по мере погашения аванса.  
Ссылка на текст: https://vip.1gl.ru?#/document/86/814711/

2. Заголовок текста: Как при расчете налога на прибыль учесть расходы на приобретение Системы Главбух и Актион Бухгалтерия (СС)  
Фрагмент: Применение коэффициента 2 надо предусмотреть в учетной политике, формулировки – в рекомендации. Повышающий коэффициент нельзя применять к расходам на БСС «Система Главбух», если права на нее пользователь приобрел до 1 января 2025 года.  
Ссылка на текст: https://vip.1gl.ru?#/document/86/814711/

3. Заголовок текста: Как при расчете налога на прибыль учесть расходы на приобретение Системы Главбух и Актион Бухгалтерия (СС)  
Фрагмент: Оплата доступа к СС признана расходом. Стоимость СС учитывайте в расходах с момента начала использования, то есть активации кода доступа.  
Ссылка на текст: https://vip.1gl.ru?#/document/86/814711/"
Добрый день! Такой вопрос. У нас ИП на НДС. У нас с нового года в кассовых чеках при оплате наличными от юр.лиц пишется без НДС. Это правильно или так не должно быть.	14839458	8259179	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Это неправильно. Поскольку ваше ИП является плательщиком НДС, в кассовых чеках при расчетах с юридическими лицами обязательно должны быть указаны ставка и сумма НДС (""Ставка и сумма НДС – обязательные реквизиты в кассовом чеке только для продавцов, которые являются плательщиками НДС"" - из текста ""Как оформить кассовый чек, если продавец не платит НДС или освобожден от налога"", https://vip.1gl.ru?#/document/12/547644/)

* При расчетах между организациями и ИП указание НДС в чеке является обязательным требованием (""В печатной форме чека реквизит обязательно указывать только при расчетах между организациями и ИП"" - из текста ""Как исправить ошибку в чеке"", https://vip.1gl.ru?#/document/16/72276/)

* Если в чеке не указан НДС при расчетах с юридическими лицами, это является нарушением, и такой чек нужно исправить (""Если же сотрудник приобретал товар от имени организации по доверенности, в чеке продавец обязан указывать сведения об НДС (ставку, сумму НДС или информацию о том, что товар не облагается НДС). В таком случае чек без НДС будет оформлен с нарушением законодательства"" - из текста ""Можно ли принять авансовый отчет сотрудника, если в кассовом чеке не указан НДС"", https://vip.1gl.ru?#/document/12/430732/)"	121,7083449	"1. Заголовок текста: Как оформить и выдать кассовый чек  
   Фрагмент текста: Наименования в кассовом чеке должны соответствовать информации, которая есть в учетной системе налогоплательщика, и давать полную информацию, которая позволяет четко идентифицировать предмет расчета. Наименование товаров, работ, услуг должны указывать в чеке все организации и ИП, в том числе ИП на спецрежимах.  
   Ссылка на текст: https://vip.1gl.ru?#/document/16/189922/

2. Заголовок текста: Как оформить и выдать кассовый чек  
   Фрагмент текста: Обязательные реквизиты кассового чека перечислены в статье 4.7 Закона от 22.05.2003 № 54-ФЗ. Требования к обязательным реквизитам также устанавливает приказ ФНС от 14.09.2020 № ЕД-7-20/662. Есть общий перечень обязательных реквизитов, которые должны быть во всех кассовых чеках.  
   Ссылка на текст: https://vip.1gl.ru?#/document/16/189922/

3. Заголовок текста: Как оформить и выдать кассовый чек  
   Фрагмент текста: В чеке нужно отразить каждый вид расхода с указанием стоимости.  
   Ссылка на текст: https://vip.1gl.ru?#/document/16/189922/

4. Заголовок текста: Как оформить и выдать кассовый чек  
   Фрагмент текста: Ошибка 1. Не указана система налогообложения. Ошибка 2. Указана неправильная система налогообложения. Например, организация совмещает общую систему и ЕНВД. Продажа была в рамках деятельности на общей системе. В чеке указали ЕНВД.  
   Ссылка на текст: https://vip.1gl.ru?#/document/16/189922/

5. Заголовок текста: Как оформить и выдать кассовый чек  
   Фрагмент текста: В чеке указали ЕНВД. Чтобы избежать штрафа, исправьте ошибку в чеке (подробнее, что делать, если в чеке неправильно указана налоговая система).  
   Ссылка на текст: https://vip.1gl.ru?#/document/16/189922/"
Добрый день	14839473	7736683	1	1	0	Рады приветствовать вас на нашем сайте	1,123988628	Рады приветствовать вас на нашем сайте
Добрый день. Нужно ли облагать Ндфл и страховыми взносами материальную помощь сотруднику в связи со смертью отца в размере 100 т.р.	14846555	1579605	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Материальная помощь в связи со смертью отца сотрудника не облагается НДФЛ, так как согласно законодательству ""сумма единовременной материальной помощи сотруднику в связи со смертью членов его семьи не облагается НДФЛ (абз. 3 п. 8 ст. 217 НК)"" (Заголовок текста: ""НДФЛ с материальной помощи сотруднику или члену его семьи"", ссылка: https://vip.1gl.ru?#/document/86/554546/)

* Страховые взносы на материальную помощь в связи со смертью отца сотрудника не начисляются, поскольку ""На матпомощь членам семьи сотрудника страховые взносы не начисляйте. Родственники работника не состоят с организацией в трудовых или гражданско-правовых отношениях. Объект обложения взносами на обязательное пенсионное, социальное, медицинское страхование отсутствует (ст. 420 НК). Взносы на травматизм также не начисляйте"" (Заголовок текста: ""Облагается ли страховыми взносами материальная помощь сотруднику или члену его семьи"", ссылка: https://vip.1gl.ru?#/document/86/554547/)

* Для оформления выплаты необходимо: ""Близким умершего надо написать заявление на материальную помощь и представить копию свидетельства о смерти. На основании этих документов нужно издать приказ об оказании материальной помощи"" (Заголовок текста: ""Выплаты умершему сотруднику"", ссылка: https://vip.1gl.ru?#/document/86/818570/)"	97,07469869	"1. Заголовок текста: НДФЛ с материальной помощи сотруднику или члену его семьи  
   Фрагмент текста: По общему правилу сумма единовременной материальной помощи сотруднику в связи со смертью членов его семьи не облагается НДФЛ (абз. 3 п. 8 ст. 217 НК).  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/554546/  

2. Заголовок текста: Облагается ли страховыми взносами материальная помощь сотруднику или члену его семьи  
   Фрагмент текста: единовременную материальную помощь независимо от ее размера в связи со смертью члена семьи сотрудника.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/554547/  

3. Заголовок текста: НДФЛ с материальной помощи сотруднику или члену его семьи  
   Фрагмент текста: Смерть разных родственников, даже если она случилась в одном календарном году, не может рассматриваться как одно событие. Выплаты в связи со смертью родственников для целей НДФЛ нужно рассматривать не в совокупности, а по каждому случаю смерти родственника отдельно.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/554546/  

4. Заголовок текста: НДФЛ с материальной помощи сотруднику или члену его семьи  
   Фрагмент текста: Материальная помощь облагается НДФЛ (п. 1 ст. 209, п. 1 ст. 210 НК). Не удерживают НДФЛ: единовременной матпомощи в любом размере членам семьи умершего сотрудника.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/554546/  

5. Заголовок текста: Страховые взносы и НДФЛ с выплат умершему сотруднику  
   Фрагмент текста: Смерть сотрудника приводит к прекращению его обязанностей по уплате НДФЛ (п. 3 ст. 44 НК).  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/818571/  

6. Заголовок текста: Страховые взносы и НДФЛ с выплат умершему сотруднику  
   Фрагмент текста: Выплаты, которые начислили после даты смерти, в РСВ не отражайте, так как взносы на них начислять не нужно.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/818571/  "
Добрый день! Подскажите, принимаем в расходы НУ услуги такси, необходимо ли чтобы у данной организации была лицензия для оказания данных услуг, для принятие в расходы в НУ?	14846493	3111998	1	0	0	"НЕТ ОТВЕТА

В предоставленных материалах нет прямого указания на необходимость наличия лицензии у организации такси для принятия расходов в налоговом учете. В текстах говорится только об общих принципах документального подтверждения расходов и порядке применения ККТ в такси, но не затрагивается вопрос лицензирования деятельности такси в контексте налогового учета расходов.

Для полного ответа на вопрос пользователя необходимы дополнительные материалы, касающиеся непосредственно требований к лицензированию деятельности такси в контексте признания расходов в налоговом учете."	90,41120219	"1. Заголовок текста: Как учесть командировочные расходы  
   Фрагмент текста, в котором содержится ответ на вопрос пользователя: Сотрудник может пользоваться в командировке услугами такси с разрешения работодателя. Такие поездки также нужно оплатить, если они документально подтверждены и связаны с производственной необходимостью в командировке.  
   Ссылка на текст, в котором содержится ответ на вопрос пользователя: https://vip.1gl.ru?#/document/16/113830/

2. Заголовок текста: Как учесть командировочные расходы  
   Фрагмент текста, в котором содержится ответ на вопрос пользователя: Если авиабилет и услугу оплачивал сам работодатель, оформите проводку: Дебет 76 Кредит 51— оплачена услуга по выбору места в самолете.  
   Ссылка на текст, в котором содержится ответ на вопрос пользователя: https://vip.1gl.ru?#/document/16/113830/

3. Заголовок текста: Как учесть командировочные расходы  
   Фрагмент текста, в котором содержится ответ на вопрос пользователя: НДС с командировочных расходов на билет или проживание примите к вычету на основании фискального БСО (п. 7 ст. 171 НК, п. 18 приложения 4 к Правилам, утв. постановлением Правительства от 26.12.2011 № 1137, письмо Минфина от 30.11.2020 № 03-07-11/104225). По расходам на такси для вычета НДС потребуется счет-фактура (п. 2 ст. 171, п. 1 ст. 172 НК).  
   Ссылка на текст, в котором содержится ответ на вопрос пользователя: https://vip.1gl.ru?#/document/16/113830/

4. Заголовок текста: Как учесть командировочные расходы  
   Фрагмент текста, в котором содержится ответ на вопрос пользователя: Работодатель вправе возместить стоимость проживания без документов, однако учесть в расходах такие затраты нельзя.  
   Ссылка на текст, в котором содержится ответ на вопрос пользователя: https://vip.1gl.ru?#/document/16/113830/"
Доброе утро! Подскажите пожалуйста при объединении земельных участков исходный земельный участок списываем на 01 счет , оформляем актом на списание или бух справками проводим?	14846536	454088	1	0	0	"НЕТ ОТВЕТА

Предоставленные материалы содержат информацию только о порядке оформления сводного счета-фактуры при продаже земельного участка вместе со зданием. В них нет информации о:
1. Порядке списания исходного земельного участка при объединении
2. Необходимости оформления акта на списание или бухгалтерской справки
3. Проводках по счету 01 при объединении земельных участков

Для корректного ответа на вопрос пользователя нужны дополнительные материалы, регламентирующие порядок учета операций по объединению земельных участков."	91,55303812	['НЕТ ОТВЕТА']
добрый день! сотрудницу приняли на работу 01.11.2024г. она проработала 14 дней и написала заявление по уходу за ребенком до 3 лет. Это до 21.04.2025г. 22.04.2025 она вышла на работу и продолжает работать. сейчас она написала заявление на отпуск с 04.06.2025 по 17.06.25. как правильно рассчитать количество дней отпуска, которые мы можем ей предоставить? период по уходу за ребенком входит в стаж? и если у нее нет заработка для начисления отпускных	14846508	519381	1	0	0	Рады приветствовать вас на нашем сайте	1,420783758	Классификатор запутался (больше одного мнения)
Добрый день. Подскажите, пожалуйста. Если индивидуальный предприниматель находился на УСН и перешел с апреля месяца на ПСН, ему необходимо уплатить налог по УСН до апреля?	14846497	417272	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Да, индивидуальный предприниматель обязан уплатить налог по УСН за период до перехода на ПСН (до апреля). Это подтверждается тем, что при нарушении условий ПСН ""придется платить налоги общей системы, УСН или ЕСХН в зависимости от того, с какой налоговой системой совмещали ПСН"" (Текст ""Ограничения на патенте"", ссылка: https://vip.1gl.ru?#/document/86/792835/).

* При этом, при расчете налога по ПСН за оставшийся период 2023 года, ИП может уменьшить сумму патентного налога на уплаченные страховые взносы. ""При расчете налога по ПСН за 2023 год ИП вправе уменьшить налог на все исчисленные взносы за 2023 год со сроком уплаты не позднее 1 июля 2024 года"" (Текст ""Как ИП уменьшить патент на взносы"", ссылка: https://vip.1gl.ru?#/document/16/183576/).

* Предприниматель может сам решить, в каком периоде учесть взносы при расчете налога - ""ФНС разъяснила, что они могут быть признаны налогоплательщиком подлежащими уплате как в 2023 году, так и в 2024 году"" (Текст ""Как ИП уменьшить патент на взносы"", ссылка: https://vip.1gl.ru?#/document/16/183576/)."	93,79967856	"1. Заголовок текста: Срок сдачи декларации по УСН  
   Фрагмент текста: В течение 15 рабочих дней с даты прекращения деятельности на УСН сдайте уведомление о прекращении. Не позднее 25-го числа следующего месяца сдайте декларацию по налогу на УСН. Такой порядок предусмотрен статьей 346.23 НК.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/803608/

2. Заголовок текста: Изменения по УСН и другим спецрежимам  
   Фрагмент текста: Уведомлять ИФНС об утрате права на УСН надо не позднее 15-го числа месяца, который следует за месяцем нарушения. За опоздание с подачей уведомления компании или ИП грозит штраф 200 руб. по статье 126 НК, а должностным лицам — штрафы по КОАП.  
   Ссылка на текст: https://vip.1gl.ru?#/document/16/192157/"
Добрый день. Работник принес свидетельство о рождении ребенка, где в графе отец стоит прочерк. Можем ли мы предоставить двойной вычет? Или нам нужна еще справка из ЗАГСА?	14846505	671247	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Да, вы можете предоставить двойной вычет, так как мать признается единственным родителем, если отец не указан в свидетельстве о рождении (""Единственным родителем признают мать, когда ребенок рожден вне брака и отцовство не установлено. То есть когда отец не указан в свидетельстве о рождении."" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)

* Дополнительная справка из ЗАГСа не требуется. Достаточно свидетельства о рождении с прочерком в графе ""Отец"" (""копией свидетельства о рождении ребенка, в котором в графе «Отец» поставлен прочерк"" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)

* Для получения двойного вычета работнику необходимо предоставить:
- копию свидетельства о рождении ребенка с прочерком в графе ""Отец""
- копию паспорта, подтверждающего, что родитель не вступил в брак
(""Право на вычет подтверждают копией свидетельства о рождении ребенка, паспорта, удостоверяющего, что родитель не вступил в брак, и другими документами"" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)

* Важно: право на двойной вычет будет утрачено, если единственный родитель вступит в брак (""после вступления в брак независимо от того, усыновлен или нет ребенок супругом"" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)"	109,1536551	"1. Заголовок текста: Кому и как предоставляют двойной стандартный вычет по НДФЛ на ребенка  
   Фрагмент текста: Двойной вычет на ребенка предоставьте на основании документов, которые подтверждают отсутствие второго родителя, или заявления второго родителя с отказом от вычета и справки о его доходах.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/805044/

2. Заголовок текста: Кому и как предоставляют двойной стандартный вычет по НДФЛ на ребенка  
   Фрагмент текста: Единственным будет усыновитель, опекун или попечитель, если изначально второго не назначили специалисты из опеки и попечительства.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/805044/

3. Заголовок текста: Кому и как предоставляют двойной стандартный вычет по НДФЛ на ребенка  
   Фрагмент текста: Если в свидетельстве о рождении ребенка указан только один из родителей, не состоящих в браке, это уже повлияет на вычеты. Так, родитель, который не указан в свидетельстве, права на вычеты не имеет вовсе. А тот, кто указан как единственный (чаще всего это мать), вправе получить вычет в двойном размере.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/805044/

4. Заголовок текста: Кому и как предоставляют двойной стандартный вычет по НДФЛ на ребенка  
   Фрагмент текста: Двойной стандартный вычет положен единственному родителю. Разведенные родители под это определение не подпадают. Однако если один из родителей отказывается от вычета на ребенка, то второму родителю вычет может быть предоставлен в двойном размере.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/805044/

5. Заголовок текста: Кому и как предоставляют двойной стандартный вычет по НДФЛ на ребенка  
   Фрагмент текста: Чтобы второму родителю получить двойной вычет на ребенка, необходимо заявление родителя, отказавшегося от вычета, и ряд дополнительных документов.  
   Ссылка на текст: https://vip.1gl.ru?#/document/86/805044/"
